[2026-04-24_11:41:05] Epoch:1/50, lr:0.01, train_loss:4.619910610483048, top1:0.3624439239501953, top5:0.7112530517578125
[2026-04-24_11:41:22] Epoch:2/50, lr:0.01, train_loss:1.7804957919932427, top1:0.6484294128417969, top5:0.9124957275390625
[2026-04-24_11:41:39] Epoch:3/50, lr:0.01, train_loss:0.8016834043441935, top1:0.7283396911621094, top5:0.9361408996582031
[2026-04-24_11:41:56] Epoch:4/50, lr:0.01, train_loss:0.4838509670597442, top1:0.7499137115478516, top5:0.9425267791748047
[2026-04-24_11:42:13] Epoch:5/50, lr:0.01, train_loss:0.29449494341586496, top1:0.7733863067626953, top5:0.9535726928710937
[2026-04-24_11:42:30] Epoch:6/50, lr:0.01, train_loss:0.19146136527365826, top1:0.7704521942138672, top5:0.9520193481445313
[2026-04-24_11:42:48] Epoch:7/50, lr:0.01, train_loss:0.1260937954834167, top1:0.7885744476318359, top5:0.9527097320556641
[2026-04-24_11:43:05] Epoch:8/50, lr:0.01, train_loss:0.08743644430440792, top1:0.7925440216064453, top5:0.9499482727050781
[2026-04-24_11:43:22] Epoch:9/50, lr:0.01, train_loss:0.05605949142432593, top1:0.8056610870361328, top5:0.9546082305908203
[2026-04-24_11:43:40] Epoch:10/50, lr:0.01, train_loss:0.04772248523349457, top1:0.8035899353027344, top5:0.9561615753173828
[2026-04-24_11:43:57] Epoch:11/50, lr:0.01, train_loss:0.03333454355201189, top1:0.8030722045898437, top5:0.9542630767822265
[2026-04-24_11:44:15] Epoch:12/50, lr:0.01, train_loss:0.027341333951087708, top1:0.8034173583984375, top5:0.9573697662353515
[2026-04-24_11:44:32] Epoch:13/50, lr:0.01, train_loss:0.020702836817090817, top1:0.8139454650878907, top5:0.9589230346679688
[2026-04-24_11:44:50] Epoch:14/50, lr:0.01, train_loss:0.018271137207270936, top1:0.8211943817138672, top5:0.9589230346679688
[2026-04-24_11:45:07] Epoch:15/50, lr:0.01, train_loss:0.01421899257842055, top1:0.8180876922607422, top5:0.9568519592285156
[2026-04-24_11:45:25] Epoch:16/50, lr:0.01, train_loss:0.011848324201406633, top1:0.8151536560058594, top5:0.9584053039550782
[2026-04-24_11:45:42] Epoch:17/50, lr:0.01, train_loss:0.010292790007797327, top1:0.8177425384521484, top5:0.9582327270507812
[2026-04-24_11:46:00] Epoch:18/50, lr:0.01, train_loss:0.009242658820399579, top1:0.8177425384521484, top5:0.9578874969482422
[2026-04-24_11:46:17] Epoch:19/50, lr:0.01, train_loss:0.007889992210696986, top1:0.8206765747070313, top5:0.9590956878662109
[2026-04-24_11:46:34] Epoch:20/50, lr:0.01, train_loss:0.0072150981707617325, top1:0.8177425384521484, top5:0.9575423431396485
