[2026-04-24_11:28:59] Epoch:1/80, lr:0.1, train_loss:2.8234025657951056, top1:0.4003958892822266, top5:0.8150435638427734
[2026-04-24_11:29:07] Epoch:2/80, lr:0.1, train_loss:0.874052676481086, top1:0.750277099609375, top5:0.9494062042236329
[2026-04-24_11:29:14] Epoch:3/80, lr:0.1, train_loss:0.2275632621793004, top1:0.8700712585449218, top5:0.9714173126220703
[2026-04-24_11:29:22] Epoch:4/80, lr:0.1, train_loss:0.08425607439130545, top1:0.8908946990966797, top5:0.9763262176513672
[2026-04-24_11:29:30] Epoch:5/80, lr:0.1, train_loss:0.03879236181375462, top1:0.9267617034912109, top5:0.9821060943603516
[2026-04-24_11:29:37] Epoch:6/80, lr:0.1, train_loss:0.014730358295227316, top1:0.9318289947509766, top5:0.9847189331054688
[2026-04-24_11:29:45] Epoch:7/80, lr:0.1, train_loss:0.008078021978560303, top1:0.9208234405517578, top5:0.980126724243164
[2026-04-24_11:29:53] Epoch:8/80, lr:0.1, train_loss:0.0058700084631851356, top1:0.9484561157226562, top5:0.9875692749023437
[2026-04-24_11:30:01] Epoch:9/80, lr:0.1, train_loss:0.01631103991228458, top1:0.9365003967285156, top5:0.9851940155029297
[2026-04-24_11:30:09] Epoch:10/80, lr:0.1, train_loss:0.017852470626474007, top1:0.9304038238525391, top5:0.9812351989746094
[2026-04-24_11:30:16] Epoch:11/80, lr:0.1, train_loss:0.0069854786247619755, top1:0.9454473876953124, top5:0.9878860473632812
[2026-04-24_11:30:24] Epoch:12/80, lr:0.1, train_loss:0.004523157615323442, top1:0.9600950622558594, top5:0.9896279144287109
[2026-04-24_11:30:32] Epoch:13/80, lr:0.1, train_loss:0.0026130271522183117, top1:0.9608076477050781, top5:0.9896279144287109
[2026-04-24_11:30:40] Epoch:14/80, lr:0.1, train_loss:0.002827846303025817, top1:0.9602533721923828, top5:0.9899446105957032
[2026-04-24_11:30:47] Epoch:15/80, lr:0.1, train_loss:0.0029498857624417583, top1:0.9635787963867187, top5:0.990973892211914
[2026-04-24_11:30:55] Epoch:16/80, lr:0.1, train_loss:0.0029610053382136607, top1:0.963341293334961, top5:0.9902613067626953
[2026-04-24_11:31:03] Epoch:17/80, lr:0.1, train_loss:0.0030384627805853433, top1:0.9649247741699218, top5:0.9913697814941407
[2026-04-24_11:31:11] Epoch:18/80, lr:0.1, train_loss:0.00298436756499789, top1:0.9545526885986328, top5:0.9907363891601563
[2026-04-24_11:31:18] Epoch:19/80, lr:0.1, train_loss:0.11274739099037531, top1:0.9439430236816406, top5:0.9892320251464843
[2026-04-24_11:31:26] Epoch:20/80, lr:0.1, train_loss:0.015583859236499705, top1:0.9593032836914063, top5:0.9908155059814453
[2026-04-24_11:31:34] Epoch:21/80, lr:0.1, train_loss:0.007732251060328313, top1:0.9650039672851562, top5:0.9922407531738281
[2026-04-24_11:31:42] Epoch:22/80, lr:0.1, train_loss:0.01578408132258851, top1:0.9580364227294922, top5:0.9937450408935546
[2026-04-24_11:31:50] Epoch:23/80, lr:0.1, train_loss:0.00961753003021049, top1:0.9603325653076172, top5:0.9933492279052735
[2026-04-24_11:31:58] Epoch:24/80, lr:0.1, train_loss:0.008921578901444937, top1:0.9540776062011719, top5:0.9875692749023437
[2026-04-24_11:32:05] Epoch:25/80, lr:0.1, train_loss:0.007588589423360279, top1:0.9798891448974609, top5:0.9974663543701172
[2026-04-24_11:32:13] Epoch:26/80, lr:0.1, train_loss:0.0026212846111905363, top1:0.9791765594482422, top5:0.9974663543701172
[2026-04-24_11:32:21] Epoch:27/80, lr:0.1, train_loss:0.002884783023097492, top1:0.97885986328125, top5:0.997149658203125
[2026-04-24_11:32:29] Epoch:28/80, lr:0.1, train_loss:0.0031528295933982574, top1:0.9809976196289063, top5:0.9969121551513672
[2026-04-24_11:32:37] Epoch:29/80, lr:0.1, train_loss:0.0032759355139229205, top1:0.9808393096923829, top5:0.996595458984375
[2026-04-24_11:32:44] Epoch:30/80, lr:0.1, train_loss:0.003211349005472254, top1:0.9834521484375, top5:0.9964370727539062
